Jobtitle,Companyname,Locations,Skills
Python Developer,Afaqy -,"Maadi, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Computer Science · Software Development · Python
Python Instructor,Algorithmics 6 of October -,"6th of October, Giza, Egypt ",Entry Level · 0 - 5 Yrs of Exp · IT/Software Development · Education/Teaching · Training/Instructor · Computer Science · Information Technology (IT) · Python · Instructor
DAZU Pay - Python Developer (FinTech),Bright Creations -,"Smart Village, Giza, Egypt ",Entry Level · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · Python Scripting · Web Scraping · WWeb Scraping · CI · Computer Science
Junior Python Developer,RDI -,"Dokki, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Python · MySQL · JavaScript · React · Angular · RESTful · Django
Technical Lead (Python Django & React Native),Money Loop  -,"New Cairo, Cairo, Egypt ",Manager · 8 - 15 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Python Django · React Native · Node.js · Continues Integration (CI) · Continuous Delivery (CD) · DevOps · Github Actions
Full-Stack Python Team Leader (Django/React),RDI -,"Dokki, Giza, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems
Python Developer,Digizilla -,"Cairo, Egypt ",Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Django · Flask · Software Development · Information Technology (IT) · Python · Programming · JavaScript
Linux Systems Administrator,HorizonTechs -,"Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Linux · Python · System Administration · troubleshoot · Zabbix · Web Application · Network · Web Hosting
Senior Data Analyst/ Lead,WUZZUF -,"Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Information Technology (IT)
Machine Learning Engineer,Afaqy -,"Maadi, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Computer Science · Machine Learning · LLM · Automation · Python
