Jobtitle,Companyname,Locations,Skills
Python Developer,Afaqy -,"Maadi, Cairo, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · Computer Science · Software Development · Python
Python Instructor,Algorithmics 6 of October -,"6th of October, Giza, Egypt ",Entry Level · 0 - 5 Yrs of Exp · IT/Software Development · Education/Teaching · Training/Instructor · Computer Science · Information Technology (IT) · Python · Instructor
Full-Stack Python Team Leader (Django/React),RDI -,"Riyadh, Saudi Arabia ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems
Senior Full-Stack Python (Django/React) in KSA,RDI -,"Dokki, Giza, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django · Full Stack Development · Information Technology (IT) · Computer Science · RESTful API · Microservice Architecture · Database Systems
DAZU Pay - Python Developer (FinTech),Bright Creations -,"Smart Village, Giza, Egypt ",Entry Level · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Django · Flask · Python Scripting · Web Scraping · WWeb Scraping · CI · Computer Science
Junior Python Developer,RDI -,"Dokki, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Python · MySQL · JavaScript · React · Angular · RESTful · Django
Technical Lead (Python Django & React Native),Money Loop  -,"New Cairo, Cairo, Egypt ",Manager · 8 - 15 Yrs of Exp · IT/Software Development · Operations/Management · Engineering - Telecom/Technology · Python Django · React Native · Node.js · Continues Integration (CI) · Continuous Delivery (CD) · DevOps · Github Actions
Data Analyst Lead / Manager,WUZZUF -,"Maadi, Cairo, Egypt ",Manager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel
Odoo Developer,ENAYA CARE INTERNATIONAL COMPANY FOR BEAUTY AND COMFORT -,"Jeddah, Saudi Arabia ",Experienced · 3 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Odoo · Information Technology (IT) · Python · Agile · ERP · PostgreSQL · Programming
Machine Learning Engineer,Afaqy -,"Maadi, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Computer Science · Machine Learning · LLM · Automation · Python
