skill,count
Experienced,116
1 - 3 Yrs of Exp,14
IT/Software Development,169
Computer Science,118
Software Development,46
Python,53
Entry Level,49
0 - 5 Yrs of Exp,1
Education/Teaching,7
Training/Instructor,5
Information Technology (IT),109
Instructor,3
5 - 8 Yrs of Exp,4
Engineering - Telecom/Technology,122
React,9
Django,7
Full Stack Development,1
RESTful API,2
Microservice Architecture,1
Database Systems,1
2+ Yrs of Exp,3
Flask,3
Python Scripting,1
Web Scraping,1
WWeb Scraping,1
CI,1
Business Development,8
MySQL,8
JavaScript,21
Angular,6
RESTful,1
Manager,5
8 - 15 Yrs of Exp,1
Operations/Management,2
Python Django,1
React Native,3
Node.js,4
Continues Integration (CI),1
Continuous Delivery (CD),1
DevOps,7
Github Actions,1
0 - 3 Yrs of Exp,3
Programming,19
7 - 15 Yrs of Exp,2
Analyst/Research,29
Analysis,20
business,6
Computer Engineering,18
Data Analysis,15
Engineering,49
Microsoft Excel,10
3 - 10 Yrs of Exp,4
Odoo,17
Agile,7
ERP,8
PostgreSQL,7
2 - 3 Yrs of Exp,3
Machine Learning,8
LLM,1
Automation,7
2 - 5 Yrs of Exp,12
Linux,9
System Administration,4
troubleshoot,1
Zabbix,2
Web Application,1
Network,3
Web Hosting,1
Installation/Maintenance/Repair,19
Functional,1
Installation,4
3 - 5 Yrs of Exp,21
engineer,3
Integrations,1
CSS,18
Design,4
Front end,1
Odoo ERP,5
ERP Implementation,1
Accounting,3
Finance,2
Implementation,1
Spark,1
kafka,1
Hive,1
Data Modeling,2
1 - 4 Yrs of Exp,4
REST,1
Database,3
Web Development,8
React.js,1
Cloud Services,1
3 - 7 Yrs of Exp,3
Communication,2
MCSA,1
networks,1
LAN,1
3+ Yrs of Exp,4
HTML,16
jQuery,1
Xml Web Services,1
ERP System,1
ERP Software,1
BI,4
Data,4
Data Management,1
Power BI,4
Quality,8
Metasploit,1
Nmap,1
Penetration,1
Security,2
Business Analysis,3
Development,4
5 - 6 Yrs of Exp,1
SQL,24
Pandas,2
5 - 10 Yrs of Exp,2
Engineering - Construction/Civil/Architecture,5
Hospitality/Hotels/Food Services,1
Data Science,6
phd,1
operations reasearch,1
Customer Operations Performance Centre,1
Research,2
MBA,1
Software Engineering,23
4 - 6 Yrs of Exp,5
.Net,2
ASP.Net,1
MVC,1
OOP,2
C#,1
NoSQL Database,2
Teaching,6
Education,6
Electronics,2
STEM,1
Robotics,2
Git,5
ORM,1
analytical,1
Reporting,1
5 - 9 Yrs of Exp,1
front-end,1
System engineer,1
system,1
Integration,1
Java,8
JSON,1
ETL,1
Engineering - Mechanical/Electrical,12
PLC,1
Electrical Engineering,2
PHP,10
5 - 20 Yrs of Exp,1
Senior Python Developer,1
RESTful APIs,1
Docker,5
Kubernetes,2
4 - 7 Yrs of Exp,1
API,3
3 - 6 Yrs of Exp,2
AI,8
Data Processing,1
MongoDB,2
Artificial Intelligence,3
Computer Vision,3
TensorFlow,2
PyTorch,2
Testing,3
Software Testing,2
QC,1
Quality Control,3
Automation Testing,4
JMeter,1
Marketing/PR/Advertising,5
Analyst,2
AWS,4
Back-End Development,1
Amazon AWS,1
Microsoft Power BI,1
Big Data Analytics,1
2 - 6 Yrs of Exp,2
ICT,1
Teacher,1
UK Curriculum,1
PGCE,1
python,6
BI Analyst,1
Data Analyst,2
excel,1
XML,2
3 - 15 Yrs of Exp,1
Deep Learning,2
Natural Language Processing,1
Neural Networks,1
Training,4
2 - 4 Yrs of Exp,5
Software,10
7 - 11 Yrs of Exp,1
Data visualization,1
4+ Yrs of Exp,4
Data Analytics,1
data scientist,2
Mathematics,1
Science,2
Senior Management,1
javaScript,8
Troubleshooting,1
3 - 3 Yrs of Exp,1
Unix,1
Azure,4
C++,1
Frameworks,1
Fullstack,1
Frontend Development,1
Backend Development,1
Scrum,1
Odoo Development,5
7 - 10 Yrs of Exp,1
English,4
technical,1
Communication skills,3
NLP,3
yolo,1
5 - 7 Yrs of Exp,4
5+ Yrs of Exp,2
backend,1
Economics,1
Market Research,1
Marketing Research,1
Research Analysis,1
ASP.NET,2
ADO.NET,1
C#.Net,1
.NET,1
.NEt Full Stack Developer,1
Full Stack Developer,2
java,1
ElasticSearch,1
Information Retrieval,1
Recommender Systems,1
JIRA,2
Ansible,1
Bash,1
german,1
1 - 2 Yrs of Exp,2
Odoo Modules,1
Accounting/Finance,1
developer,4
PHP developer,1
senior,3
MEAN Stack,1
Mobile Development,2
Objective-C,1
Software Design,1
Web Design,1
Not specified,9
computer science,7
information technology (it),7
computer engineering,5
data entry,3
microsoft office,4
operations,2
Front-End,1
communication skills,1
Microsoft Office,9
Learning,2
E-Learning,2
Data Scientist,3
Human Resources,1
Administration,2
javascript,1
engineering,2
html,1
coding,1
php,1
Mechanical Engineering,3
Production,2
electrical engineering,1
linux,1
cyber security,1
CentOS,1
software,2
management,1
Creative/Design/Art,5
Blockchain,1
Sales/Retail,3
Sales,2
Sales Skills,2
Sales Target,2
Customer Support,3
Outdoor Sales,1
Telecommunication,1
1 - 5 Yrs of Exp,1
Jenkins,1
2 - 7 Yrs of Exp,1
QA,2
Bugzilla,1
Quality Assurance,3
Cypress,1
Selenium,2
Firebase,1
2 - 10 Yrs of Exp,1
computer,4
Networks,4
males_only,2
Databases,1
Help desk,1
Information technology,1
Oracle,1
Microsoft SQL Server,1
Full Stack,7
PHP Web Development,1
4 - 12 Yrs of Exp,1
Laravel Framework,1
Smart Home,1
Customer Service,3
3 - 20 Yrs of Exp,1
Cloud,2
Simulation,1
Unreal Engine,1
Game development,1
Sensors,1
c++,1
1 - 15 Yrs of Exp,1
data labeling,1
Skills,1
"#data",1
J2EE,1
JSP,1
JSF,1
ISTQB,2
Analytical Skills,1
Mobile Application Development,1
Mobile App Development,1
Cloud Computing,1
DNS,1
Azure Active Directory,1
Active Directory,1
IT Service Management,1
Odoo Developer,1
Media/Journalism/Publishing,2
Designer,1
Web,2
Web designer,1
Informatica PowerCenter,1
Informatica ETL,1
6 - 10 Yrs of Exp,1
Cloud Development,1
Internship,1
Frontend,1
Startup,3
Github,1
AutoCAD,1
CAD,1
CNC,1
Mechatronics,1
Mechatronics Engineering,1
CCNA,4
ITIL,1
BMC Helix Remedyforce,1
ServiceNow,1
SolarWinds,1
Networking,6
web developer,1
Infrastructure Engineer,1
Machine Vision,1
Artificial Intelligence (AI),1
6 - 8 Yrs of Exp,1
PHP Laravel,1
PHP (Laravel),1
Senior PHP,1
laravel developer,1
Laravel,1
Data Center,1
hyper converged,1
Vmware,1
Hyper-V,1
Storage,1
Servers,1
10 - 13 Yrs of Exp,1
IT,2
Linux Operating System,1
Project Management,3
4 - 5 Yrs of Exp,1
software support engineer,1
Application Development,1
ERP Applications,1
powerschool,1
1+ Yrs of Exp,1
Google Analytics,1
Google tag manager,1
Web Analytics,1
Network Administration,1
CCNP,1
quality,1
Consulting,1
R&D/Science,1
R&amp;D,1
Pharmacy,1
Technical Support,1
Student,2
Marketing,3
Social Media,2
Communication Skills,2
Medical/Healthcare,1
Pharmaceutical,1
bytedance,1
innovate,1
team,1
tech,1
stakeholders,1
Project/Program Management,1
PMP,1
Civil Engineering,1
Management,1
Customer Service/Support,1
ccie,1
ccnp,1
cybersecurity,1
Back-End,1
Experienced,1
1 - 3 Yrs of Exp,1
IT/Software Development,1
Computer Science,1
Software Development,1
Python,1
Entry Level,1
0 - 5 Yrs of Exp,1
IT/Software Development,1
Education/Teaching,1
Training/Instructor,1
Computer Science,1
