,"('Experienced', 116)"
0,"('1 - 3 Yrs of Exp', 14)"
1,"('IT/Software Development', 169)"
2,"('Computer Science', 118)"
3,"('Python', 53)"
4,"('Entry Level', 49)"
5,"('Training/Instructor', 5)"
6,"('Information Technology (IT)', 109)"
7,"('Instructor', 3)"
8,"('Full Stack Development', 1)"
9,"('2+ Yrs of Exp', 3)"
10,"('WWeb Scraping', 1)"
11,"('CI', 1)"
12,"('MySQL', 8)"
13,"('RESTful', 1)"
14,"('Python Django', 1)"
15,"('Node.js', 4)"
16,"('Continues Integration (CI)', 1)"
17,"('Continuous Delivery (CD)', 1)"
18,"('DevOps', 7)"
19,"('Github Actions', 1)"
20,"('0 - 3 Yrs of Exp', 3)"
21,"('Analysis', 20)"
22,"('business', 6)"
23,"('Computer Engineering', 18)"
24,"('Data Analysis', 15)"
25,"('Engineering', 49)"
26,"('Odoo', 17)"
27,"('ERP', 8)"
28,"('2 - 3 Yrs of Exp', 3)"
29,"('Machine Learning', 8)"
30,"('LLM', 1)"
31,"('2 - 5 Yrs of Exp', 12)"
32,"('Linux', 9)"
33,"('System Administration', 4)"
34,"('troubleshoot', 1)"
35,"('Zabbix', 2)"
36,"('Network', 3)"
37,"('Web Hosting', 1)"
38,"('Installation/Maintenance/Repair', 19)"
39,"('Functional', 1)"
40,"('3 - 5 Yrs of Exp', 21)"
41,"('Integrations', 1)"
42,"('CSS', 18)"
43,"('Front end', 1)"
44,"('Odoo ERP', 5)"
45,"('Finance', 2)"
46,"('Implementation', 1)"
47,"('kafka', 1)"
48,"('React.js', 1)"
49,"('Cloud Services', 1)"
50,"('MCSA', 1)"
51,"('HTML', 16)"
52,"('Xml Web Services', 1)"
53,"('ERP Software', 1)"
54,"('BI', 4)"
55,"('Data Management', 1)"
56,"('Power BI', 4)"
57,"('Quality', 8)"
58,"('Metasploit', 1)"
59,"('Nmap', 1)"
60,"('Penetration', 1)"
61,"('Security', 2)"
62,"('Development', 4)"
63,"('5 - 6 Yrs of Exp', 1)"
64,"('SQL', 24)"
65,"('Pandas', 2)"
66,"('Engineering - Construction/Civil/Architecture', 5)"
67,"('Hospitality/Hotels/Food Services', 1)"
68,"('Data Science', 6)"
69,"('operations reasearch', 1)"
70,"('Research', 2)"
71,"('C#', 1)"
72,"('Education', 6)"
73,"('STEM', 1)"
74,"('Robotics', 2)"
75,"('front-end', 1)"
76,"('System engineer', 1)"
77,"('Java', 8)"
78,"('JSON', 1)"
79,"('ETL', 1)"
80,"('Electrical Engineering', 2)"
81,"('PHP', 10)"
82,"('RESTful APIs', 1)"
83,"('Docker', 5)"
84,"('3 - 6 Yrs of Exp', 2)"
85,"('AI', 8)"
86,"('Artificial Intelligence', 3)"
87,"('TensorFlow', 2)"
88,"('Software Testing', 2)"
89,"('QC', 1)"
90,"('Quality Control', 3)"
91,"('Marketing/PR/Advertising', 5)"
92,"('Analyst', 2)"
93,"('Amazon AWS', 1)"
94,"('Microsoft Power BI', 1)"
95,"('python', 6)"
96,"('excel', 1)"
97,"('Neural Networks', 1)"
